rank	gene	pu_score	driver	top_features	gwas_present	perturbseq_measured
37	MALT1	0.964391	genetics+perturbseq-driven	IEI+2.055; gwas_score+1.492; mis.z_score+0.534	1	1
39	ICOS	0.963502	genetics+perturbseq-driven	IEI+2.219; gwas_score+1.350; stim48hr_se_beta+0.307	1	1
40	NCF1	0.963207	genetics+perturbseq-driven	IEI+2.100; gwas_score+0.803; mis.z_score+0.779	1	1
41	STAT1	0.962974	genetics+perturbseq-driven	IEI+2.067; gwas_score+0.931; mis.z_score+0.829	1	1
42	TNFAIP3	0.962919	genetics+perturbseq-driven	IEI+2.148; gwas_score+1.300; stim48hr_se_beta+0.279	1	1
43	STAT4	0.962885	genetics+perturbseq-driven	IEI+2.070; gwas_score+1.300; mis.z_score+0.488	1	1
45	FCGR3A	0.962796	genetics+perturbseq-driven	IEI+2.162; gwas_score+1.132; lof.oe_ci.upper+0.225	1	0
46	TGFBR1	0.96224	genetics+perturbseq-driven	IEI+2.104; gwas_score+0.956; mis.z_score+0.643	1	1
48	DOCK2	0.960661	genetics+perturbseq-driven	IEI+2.110; gwas_score+1.300; mis.z_score+0.655	1	1
49	DNMT3B	0.960178	genetics+perturbseq-driven	IEI+2.083; gwas_score+1.311; mis.z_score+0.474	1	1
50	LACC1	0.960174	genetics+perturbseq-driven	IEI+2.177; gwas_score+1.521; stim48hr_coef_beta-0.162	1	1
51	NALCN	0.959863	genetics+perturbseq-driven	gwas_score+1.943; mis.z_score+1.105; lof.oe_ci.upper+0.302	1	0
52	TLR3	0.959261	genetics+perturbseq-driven	IEI+2.145; gwas_score+1.295; mis.z_score-0.249	1	0
53	NCF4	0.959024	genetics+perturbseq-driven	IEI+2.239; gwas_score+1.300; mis.z_score-0.473	1	1
54	STAT6	0.958495	genetics+perturbseq-driven	IEI+2.022; gwas_score+1.447; mis.z_score+0.563	1	1
56	PTEN	0.958312	genetics+perturbseq-driven	IEI+2.135; gwas_score+0.972; mis.z_score+0.800	1	1
58	RANBP2	0.957937	genetics+perturbseq-driven	IEI+2.009; gwas_score+0.936; mis.z_score+0.854	1	0
59	IRF4	0.95773	genetics+perturbseq-driven	IEI+2.061; gwas_score+1.274; mis.z_score+0.507	1	1
60	PIK3R1	0.957664	genetics+perturbseq-driven	IEI+2.104; gwas_score+1.049; mis.z_score+0.615	1	1
61	ITPR3	0.957298	genetics+perturbseq-driven	IEI+2.088; gwas_score+1.368; mis.z_score+0.689	1	1
62	SEMA3E	0.957021	genetics+perturbseq-driven	IEI+2.225; gwas_score+1.118; mis.z_score-0.245	1	0
64	FADS2	0.956497	genetics+perturbseq-driven	gwas_score+1.876; mis.z_score+0.797; stim48hr_coef_beta+0.298	1	1
65	LYST	0.955915	genetics+perturbseq-driven	IEI+2.049; gwas_score+1.355; mis.z_score+0.613	1	1
66	BACH2	0.955874	genetics+perturbseq-driven	IEI+2.099; gwas_score+1.252; mis.z_score+0.538	1	1
68	IL12RB2	0.955513	genetics+perturbseq-driven	IEI+2.180; gwas_score+1.378; stim48hr_coef_beta+0.349	1	1
