gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score
ABCB11	8647	NA	7.6126e-01	1.0056e+00
ABCB11	ENSG00000073734	chr2	7.6126e-01	1.0056e+00
ABCB4	5244	NA	6.3148e-01	3.4537e+00
ABCB4	ENSG00000005471	chr7	6.3148e-01	3.4537e+00
ABCB5	340273	NA	1.2283e+00	-3.3821e+00
ABCB5	ENSG00000004846	chr7	1.2283e+00	-3.3821e+00
ABCB6	10058	NA	1.0460e+00	6.1645e-01
ABCB6	ENSG00000115657	chr2	1.0460e+00	6.1645e-01
ABCB7	22	NA	2.4186e-01	3.8284e+00
ABCB7	ENSG00000131269	chrX	2.4186e-01	3.8284e+00
ABCB8	11194	NA	8.9785e-01	8.9655e-01
ABCB8	ENSG00000197150	chr7	8.9785e-01	8.9655e-01
ABCB9	23457	NA	7.6695e-01	1.4671e+00
ABCB9	ENSG00000150967	chr12	7.6695e-01	1.4671e+00
ABCC1	4363	NA	5.7606e-01	1.7695e+00
ABCC1	ENSG00000103222	chr16	5.7606e-01	1.7695e+00
ABCC10	89845	NA	8.9982e-01	1.9618e+00
ABCC10	ENSG00000124574	chr6	8.9982e-01	1.9618e+00
ABCC11	85320	NA	1.0428e+00	4.3312e-01
ABCC11	ENSG00000121270	chr16	1.0428e+00	4.3312e-01
ABCC12	ENSG00000140798	chr16	1.0800e+00	5.5034e-01
ABCC2	1244	NA	1.0337e+00	2.9989e-01
ABCC2	ENSG00000023839	chr10	1.0337e+00	2.9989e-01
ABCC3	8714	NA	8.5103e-01	9.1538e-01
ABCC3	ENSG00000108846	chr17	8.5103e-01	9.1538e-01
ABCC4	10257	NA	7.1379e-01	2.1690e+00
ABCC4	ENSG00000125257	chr13	7.1379e-01	2.1690e+00
ABCC5	10057	NA	4.6920e-01	5.0605e+00
ABCC5	ENSG00000114770	chr3	4.6920e-01	5.0605e+00
ABCC6	368	NA	8.6179e-01	1.8863e+00
ABCC6	ENSG00000091262	chr16	8.6179e-01	1.8863e+00
ABCC8	6833	NA	8.3980e-01	3.0229e+00
ABCC8	ENSG00000006071	chr11	8.3980e-01	3.0229e+00
ABCC9	10060	NA	5.9527e-01	7.6353e+00
ABCC9	ENSG00000069431	chr12	5.9842e-01	7.6240e+00
ABCD1	215	NA	2.9666e-01	2.8856e+00
ABCD1	ENSG00000101986	chrX	2.9666e-01	2.8856e+00
ABCD2	225	NA	6.7006e-01	2.3040e+00
ABCD2	ENSG00000173208	chr12	6.7006e-01	2.3040e+00
ABCD3	5825	NA	5.0437e-01	2.7682e+00
ABCD3	ENSG00000117528	chr1	5.0437e-01	2.7682e+00
ABCD4	5826	NA	7.7234e-01	1.1573e-01
ABCD4	ENSG00000119688	chr14	7.7234e-01	1.1573e-01
ABCE1	6059	NA	3.7667e-01	6.2201e+00
ABCE1	ENSG00000164163	chr4	3.7667e-01	6.2201e+00
ABCF1	23	NA	7.0200e-01	3.5604e+00
ABCF1	ENSG00000204574	chr6	7.0200e-01	3.5604e+00
ABCF2	10061	NA	6.3271e-01	3.9364e+00
ABCF2	ENSG00000033050	chr7	6.3271e-01	3.9364e+00
ABCF2-H2BE1	ENSG00000285292	chr7	6.5498e-01	3.9216e+00
ABCF3	55324	NA	8.5859e-01	1.1523e+00
ABCF3	ENSG00000161204	chr3	8.1249e-01	1.1544e+00
ABCG1	9619	NA	5.7155e-01	2.5627e+00
ABCG1	ENSG00000160179	chr21	5.7155e-01	2.5627e+00
ABCG2	9429	NA	1.3100e+00	-1.4868e-01
ABCG2	ENSG00000118777	chr4	1.3100e+00	-1.4868e-01
ABCG4	64137	NA	7.1783e-01	3.4641e+00
ABCG4	ENSG00000172350	chr11	7.1783e-01	3.4641e+00
ABCG5	64240	NA	1.2224e+00	-1.1628e+00
ABCG5	ENSG00000138075	chr2	1.2224e+00	-1.1628e+00
ABCG8	64241	NA	1.3670e+00	-3.6629e+00
ABCG8	ENSG00000143921	chr2	1.3670e+00	-3.6629e+00
ABHD1	84696	NA	1.4463e+00	-8.8640e-01
ABHD1	ENSG00000143994	chr2	1.4463e+00	-8.8640e-01
ABHD10	55347	NA	9.4825e-01	6.1013e-01
ABHD10	ENSG00000144827	chr3	9.4825e-01	6.1013e-01
ABHD11	83451	NA	1.2449e+00	8.6005e-01
ABHD11	ENSG00000106077	chr7	1.2449e+00	8.6005e-01
ABHD12	26090	NA	9.5111e-01	-3.3794e-02
ABHD12	ENSG00000100997	chr20	9.5111e-01	-3.3794e-02
ABHD12B	145447	NA	1.0770e+00	-6.3011e-01
ABHD12B	ENSG00000131969	chr14	1.0770e+00	-6.3011e-01
ABHD13	84945	NA	5.2242e-01	2.1408e+00
ABHD13	ENSG00000139826	chr13	5.2242e-01	2.1408e+00
ABHD14A	25864	NA	1.0322e+00	7.7246e-01
ABHD14A	ENSG00000248487	chr3	1.0322e+00	7.7246e-01
ABHD14A-ACY1	100526760	NA	9.3677e-01	1.2273e+00
ABHD14A-ACY1	ENSG00000114786	chr3	9.5267e-01	1.0234e+00
ABHD14B	84836	NA	1.8067e+00	6.2634e-01
ABHD14B	ENSG00000114779	chr3	1.8067e+00	6.2634e-01
ABHD15	116236	NA	1.3175e+00	1.0707e-01
ABHD15	ENSG00000168792	chr17	1.3175e+00	1.0707e-01
ABHD16A	7920	NA	6.6778e-01	2.4322e+00
ABHD16A	ENSG00000204427	chr6	6.6778e-01	2.4322e+00
ABHD16B	140701	NA	2.0765e+00	-7.2638e-01
ABHD16B	ENSG00000183260	chr20	2.0765e+00	-7.2638e-01
ABHD17A	81926	NA	6.3255e-01	3.2972e+00
ABHD17A	ENSG00000129968	chr19	6.3255e-01	3.2972e+00
ABHD17B	51104	NA	6.0029e-01	2.9114e+00
ABHD17B	ENSG00000107362	chr9	6.0029e-01	2.9114e+00
ABHD17C	58489	NA	6.5188e-01	3.7415e+00
ABHD17C	ENSG00000136379	chr15	6.5188e-01	3.7415e+00
ABHD18	80167	NA	1.0453e+00	4.5966e-01
ABHD18	ENSG00000164074	chr4	1.0453e+00	4.5966e-01
ABHD2	11057	NA	6.0377e-01	2.6504e+00
ABHD2	ENSG00000140526	chr15	6.0377e-01	2.6504e+00
ABHD3	171586	NA	1.2041e+00	1.4854e-01
ABHD3	ENSG00000158201	chr18	1.2041e+00	1.4854e-01
ABHD4	ENSG00000100439	chr14	1.0982e+00	1.3155e+00
ABHD5	51099	NA	9.0612e-01	5.0468e-01
ABHD5	ENSG00000011198	chr3	9.0612e-01	5.0468e-01
ABHD6	57406	NA	1.1372e+00	8.8339e-01
ABHD6	ENSG00000163686	chr3	1.1372e+00	8.8339e-01
ABHD8	79575	NA	5.7848e-01	1.0201e+00
ABHD8	ENSG00000127220	chr19	5.7848e-01	1.0201e+00
ABI1	10006	NA	4.0109e-01	2.7082e+00
ABI1	ENSG00000136754	chr10	4.0109e-01	2.7082e+00
ABI2	10152	NA	5.8977e-01	2.2349e+00
ABI2	ENSG00000138443	chr2	5.8977e-01	2.2349e+00
ABI3	51225	NA	9.1175e-01	8.0144e-02
ABI3	ENSG00000108798	chr17	9.1175e-01	8.0144e-02
ABI3BP	25890	NA	9.0010e-01	8.4332e-01
ABI3BP	ENSG00000154175	chr3	9.0010e-01	8.4332e-01
ABITRAM	54942	NA	1.2196e+00	1.4951e-01
ABITRAM	ENSG00000119328	chr9	1.2196e+00	1.4951e-01
ABL1	25	NA	1.9230e-01	4.5023e+00
ABL1	ENSG00000097007	chr9	1.9230e-01	4.5023e+00
ABL2	27	NA	5.7703e-01	2.3686e+00
ABL2	ENSG00000143322	chr1	5.7703e-01	2.3686e+00
ABLIM1	3983	NA	4.6593e-01	2.1612e+00
ABLIM1	ENSG00000099204	chr10	4.8684e-01	2.0351e+00
ABLIM2	84448	NA	6.8226e-01	4.6650e-01
ABLIM2	ENSG00000163995	chr4	6.8226e-01	4.6650e-01
ABLIM3	22885	NA	6.8945e-01	1.3364e+00
ABLIM3	ENSG00000173210	chr5	6.8945e-01	1.3364e+00
ABO	28	NA	1.2805e+00	1.9522e-01
ABO	ENSG00000175164	chr9	1.2805e+00	1.9522e-01
ABR	29	NA	4.3266e-01	3.8335e+00
ABR	ENSG00000159842	chr17	4.3266e-01	3.8335e+00
ABRA	137735	NA	1.0450e+00	-1.7828e-01
ABRA	ENSG00000174429	chr8	1.0450e+00	-1.7828e-01
ABRACL	58527	NA	1.3023e+00	-2.9062e-01
ABRACL	ENSG00000146386	chr6	1.3023e+00	-2.9062e-01
ABRAXAS1	84142	NA	9.3915e-01	8.5325e-01
ABRAXAS1	ENSG00000163322	chr4	9.3915e-01	8.5325e-01
ABRAXAS2	23172	NA	6.6472e-01	1.2980e+00
ABRAXAS2	ENSG00000165660	chr10	6.6472e-01	1.2980e+00
ABT1	29777	NA	1.4791e+00	-1.0933e+00
ABT1	ENSG00000146109	chr6	1.4791e+00	-1.0933e+00
ABTB1	80325	NA	1.0097e+00	5.9988e-01
ABTB1	ENSG00000114626	chr3	1.0097e+00	5.9988e-01
ABTB2	25841	NA	6.7196e-01	1.4627e+00
ABTB2	ENSG00000166016	chr11	6.7196e-01	1.4627e+00
ACAA1	30	NA	1.1594e+00	9.0393e-01
ACAA1	ENSG00000060971	chr3	1.1594e+00	9.0393e-01
ACAA2	10449	NA	1.0353e+00	2.8259e-01
ACAA2	ENSG00000167315	chr18	1.0353e+00	2.8259e-01
ACACA	31	NA	4.0972e-01	1.1198e+01
ACACA	ENSG00000278540	chr17	4.0972e-01	1.1198e+01
ACACB	ENSG00000076555	chr12	8.4066e-01	3.1253e+00
ACAD10	80724	NA	1.1217e+00	1.0582e+00
ACAD10	ENSG00000111271	chr12	1.1217e+00	1.0582e+00
ACAD11	84129	NA	9.7495e-01	7.0123e-01
ACAD11	ENSG00000240303	chr3	9.7495e-01	7.0123e-01
ACAD8	27034	NA	1.1292e+00	7.5585e-01
ACAD8	ENSG00000151498	chr11	1.1292e+00	7.5585e-01
ACAD9	28976	NA	9.4865e-01	3.8832e-01
ACAD9	ENSG00000177646	chr3	9.4865e-01	3.8832e-01
ACADL	33	NA	1.3075e+00	7.7265e-01
ACADL	ENSG00000115361	chr2	1.3075e+00	7.7265e-01
ACADM	34	NA	1.0556e+00	2.0785e-01
ACADM	ENSG00000117054	chr1	1.0556e+00	2.0785e-01
ACADS	35	NA	8.2105e-01	8.8678e-01
ACADS	ENSG00000122971	chr12	8.2105e-01	8.8678e-01
ACADSB	36	NA	9.6279e-01	-3.7009e-01
ACADSB	ENSG00000196177	chr10	9.6279e-01	-3.7009e-01
ACADVL	37	NA	1.1033e+00	-2.7828e-01
ACADVL	ENSG00000072778	chr17	1.1033e+00	-2.7828e-01
ACAN	176	NA	3.5449e-01	3.5660e-01
ACAN	ENSG00000157766	chr15	3.5449e-01	3.5660e-01
ACAP1	9744	NA	5.8414e-01	3.2353e+00
ACAP1	ENSG00000072818	chr17	5.8414e-01	3.2353e+00
ACAP2	23527	NA	4.3996e-01	3.7194e+00
ACAP2	ENSG00000114331	chr3	4.3996e-01	3.7194e+00
ACAP3	116983	NA	6.7205e-01	-4.1214e-01
ACAP3	ENSG00000131584	chr1	6.7205e-01	-4.1214e-01
ACAT1	38	NA	8.1139e-01	1.0307e+00
ACAT1	ENSG00000075239	chr11	8.1139e-01	1.0307e+00
ACAT2	39	NA	9.7125e-01	4.0434e-01
ACAT2	ENSG00000120437	chr6	9.7125e-01	4.0434e-01
ACBD3	64746	NA	6.0820e-01	1.9936e+00
ACBD3	ENSG00000182827	chr1	6.0820e-01	1.9936e+00
ACBD4	79777	NA	1.1554e+00	1.3844e-01
ACBD4	ENSG00000181513	chr17	1.1554e+00	1.3844e-01
ACBD5	91452	NA	7.2489e-01	1.4357e+00
ACBD5	ENSG00000107897	chr10	7.2489e-01	1.4357e+00
ACBD6	84320	NA	1.0310e+00	-6.1460e-02
ACBD6	ENSG00000230124	chr1	1.0310e+00	-6.1460e-02
ACBD7	414149	NA	1.3263e+00	-3.3454e-01
ACBD7	ENSG00000176244	chr10	1.3263e+00	-3.3454e-01
ACCS	84680	NA	9.0855e-01	4.8264e-01
ACCS	ENSG00000110455	chr11	9.0855e-01	4.8264e-01
ACCSL	390110	NA	1.1165e+00	1.0661e+00
ACCSL	ENSG00000205126	chr11	1.1165e+00	1.0661e+00
ACD	65057	NA	9.4569e-01	1.0887e+00
ACD	ENSG00000102977	chr16	9.4569e-01	1.0887e+00
ACE	1636	NA	8.7364e-01	-6.5413e-01
ACE	ENSG00000159640	chr17	8.7364e-01	-6.5413e-01
ACE2	59272	NA	3.5455e-01	1.2981e+00
ACE2	ENSG00000130234	chrX	3.5455e-01	1.2981e+00
ACER1	125981	NA	1.5442e+00	-6.1168e-02
ACER1	ENSG00000167769	chr19	1.5442e+00	-6.1168e-02
ACER2	340485	NA	1.0386e+00	-2.5804e-01
ACER2	ENSG00000177076	chr9	1.0386e+00	-2.5804e-01
ACER3	55331	NA	4.9691e-01	2.3385e+00
ACER3	ENSG00000078124	chr11	4.9691e-01	2.3385e+00
ACHE	43	NA	5.1768e-01	3.5766e+00
ACHE	ENSG00000087085	chr7	5.1768e-01	3.5766e+00
ACIN1	22985	NA	1.6578e-01	2.6827e+00
ACIN1	ENSG00000100813	chr14	1.6578e-01	2.6827e+00
ACKR1	2532	NA	3.0605e+00	-9.1816e-01
ACKR1	ENSG00000213088	chr1	3.0605e+00	-9.1816e-01
ACKR2	1238	NA	NA	3.9691e-01
ACKR2	ENSG00000144648	chr3	NA	3.9691e-01
ACKR3	57007	NA	5.2842e-01	1.5494e+00
ACKR3	ENSG00000144476	chr2	5.2842e-01	1.5494e+00
ACKR4	51554	NA	7.3847e-01	5.2956e+00
ACKR4	ENSG00000129048	chr3	7.3847e-01	5.2956e+00
ACLY	47	NA	4.0007e-01	4.5619e+00
ACLY	ENSG00000131473	chr17	4.0007e-01	4.5619e+00
ACMSD	130013	NA	1.0597e+00	-2.7300e-01
ACMSD	ENSG00000153086	chr2	1.0597e+00	-2.7300e-01
ACO1	48	NA	8.9634e-01	1.8692e+00
ACO1	ENSG00000122729	chr9	8.9634e-01	1.8692e+00
ACO2	50	NA	4.9532e-01	4.5765e+00
ACO2	ENSG00000100412	chr22	4.9532e-01	4.5765e+00
ACOD1	730249	NA	1.5430e+00	9.9151e-01
ACOD1	ENSG00000102794	chr13	1.5430e+00	9.9151e-01
ACOT1	641371	NA	9.2115e-01	7.1326e+00
ACOT1	ENSG00000184227	chr14	9.2115e-01	7.1326e+00
ACOT11	26027	NA	1.0880e+00	7.1374e-01
ACOT11	ENSG00000162390	chr1	1.0880e+00	7.1374e-01
ACOT12	134526	NA	9.5122e-01	-4.1430e-01
ACOT12	ENSG00000172497	chr5	9.5122e-01	-4.1430e-01
ACOT13	55856	NA	1.4436e+00	6.8405e-02
ACOT13	ENSG00000112304	chr6	1.4436e+00	6.8405e-02
ACOT2	10965	NA	1.1517e+00	2.3437e+00
ACOT2	ENSG00000119673	chr14	1.1517e+00	2.3437e+00
ACOT4	122970	NA	1.5601e+00	-3.0298e-01
ACOT4	ENSG00000177465	chr14	1.5601e+00	-3.0298e-01
ACOT6	641372	NA	1.7776e+00	5.2341e-01
ACOT6	ENSG00000205669	chr14	1.7776e+00	5.2341e-01
ACOT7	11332	NA	4.8306e-01	2.5131e+00
ACOT7	ENSG00000097021	chr1	4.8306e-01	2.5131e+00
ACOT8	10005	NA	1.0884e+00	1.0127e+00
ACOT8	ENSG00000101473	chr20	1.0884e+00	1.0127e+00
ACOT9	23597	NA	1.1400e+00	7.1412e-01
ACOT9	ENSG00000123130	chrX	1.1400e+00	7.1412e-01
ACOX1	51	NA	7.0432e-01	3.0586e+00
ACOX1	ENSG00000161533	chr17	7.0432e-01	3.0586e+00
ACOX2	8309	NA	9.4578e-01	6.2414e-01
ACOX2	ENSG00000168306	chr3	9.4578e-01	6.2414e-01
ACOX3	8310	NA	1.0887e+00	-2.6533e-01
ACOX3	ENSG00000087008	chr4	1.0887e+00	-2.6533e-01
ACOXL	55289	NA	1.1878e+00	5.2404e-01
ACOXL	ENSG00000153093	chr2	1.1878e+00	5.2404e-01
ACP1	52	NA	1.3943e+00	5.3602e-01
ACP1	ENSG00000143727	chr2	1.3943e+00	5.3602e-01
ACP2	53	NA	8.4800e-01	1.3097e+00
ACP2	ENSG00000134575	chr11	8.4800e-01	1.3097e+00
ACP3	55	NA	1.0915e+00	-5.4559e-02
ACP3	ENSG00000014257	chr3	1.0915e+00	-5.4559e-02
ACP4	93650	NA	1.3157e+00	-2.6086e-01
ACP4	ENSG00000142513	chr19	1.3157e+00	-2.6086e-01
ACP5	54	NA	1.1778e+00	1.4152e+00
ACP5	ENSG00000102575	chr19	1.1778e+00	1.4152e+00
ACP6	51205	NA	1.2683e+00	8.1801e-01
ACP6	ENSG00000162836	chr1	1.2683e+00	8.1801e-01
ACP7	390928	NA	1.1905e+00	3.8868e-01
ACP7	ENSG00000183760	chr19	1.1905e+00	3.8868e-01
ACR	49	NA	9.8022e-01	1.5774e+00
ACR	ENSG00000100312	chr22	9.8022e-01	1.5774e+00
ACRBP	84519	NA	9.4987e-01	1.1344e+00
ACRBP	ENSG00000111644	chr12	9.4987e-01	1.1344e+00
ACRV1	56	NA	8.7182e-01	5.2795e-01
ACRV1	ENSG00000134940	chr11	8.7182e-01	5.2795e-01
ACSBG1	23205	NA	6.3510e-01	1.8993e+00
ACSBG1	ENSG00000103740	chr15	6.3510e-01	1.8993e+00
ACSBG2	81616	NA	1.0260e+00	1.3067e+00
ACSBG2	ENSG00000130377	chr19	1.0260e+00	1.3067e+00
ACSF2	80221	NA	8.2668e-01	2.1416e+00
ACSF2	ENSG00000167107	chr17	8.2668e-01	2.1416e+00
ACSF3	197322	NA	1.7694e+00	-2.5483e+00
ACSF3	ENSG00000176715	chr16	1.7694e+00	-2.5483e+00
ACSL1	2180	NA	5.4076e-01	2.1405e+00
ACSL1	ENSG00000151726	chr4	5.4076e-01	2.1405e+00
ACSL3	2181	NA	5.3438e-01	2.7873e+00
ACSL3	ENSG00000123983	chr2	5.3438e-01	2.7873e+00
ACSL4	2182	NA	3.1979e-01	3.0845e+00
ACSL4	ENSG00000068366	chrX	3.1979e-01	3.0845e+00
ACSL5	51703	NA	7.4520e-01	8.1991e-01
ACSL5	ENSG00000197142	chr10	7.4520e-01	8.1991e-01
ACSL6	23305	NA	6.1041e-01	2.1509e+00
ACSL6	ENSG00000164398	chr5	6.1041e-01	2.1509e+00
ACSM1	116285	NA	1.2569e+00	7.0134e-01
ACSM1	ENSG00000166743	chr16	1.2569e+00	7.0134e-01
ACSM2A	123876	NA	1.1440e+00	3.9331e-01
ACSM2A	ENSG00000183747	chr16	1.1440e+00	3.9331e-01
ACSM2B	348158	NA	9.1824e-01	3.7147e-01
ACSM2B	ENSG00000066813	chr16	9.1824e-01	3.7147e-01
ACSM3	6296	NA	1.0185e+00	5.9831e-01
ACSM3	ENSG00000005187	chr16	1.0185e+00	5.9831e-01
ACSM4	341392	NA	1.1093e+00	1.1068e+00
ACSM4	ENSG00000215009	chr12	1.1093e+00	1.1068e+00
ACSM5	54988	NA	9.7771e-01	4.7347e-02
ACSM5	ENSG00000183549	chr16	9.7771e-01	4.7347e-02
ACSM6	142827	NA	9.0878e-01	1.3247e+00
ACSM6	ENSG00000173124	chr10	9.0878e-01	1.3247e+00
ACSS1	84532	NA	7.2179e-01	2.1427e+00
ACSS1	ENSG00000154930	chr20	7.2179e-01	2.1427e+00
ACSS2	55902	NA	7.9677e-01	2.1611e+00
ACSS2	ENSG00000131069	chr20	7.9677e-01	2.1611e+00
ACSS3	79611	NA	9.3638e-01	7.6210e-01
ACSS3	ENSG00000111058	chr12	9.3638e-01	7.6210e-01
ACTA1	58	NA	9.7472e-01	6.6324e+00
ACTA1	ENSG00000143632	chr1	9.7472e-01	6.6324e+00
ACTA2	59	NA	4.9182e-01	5.0186e+00
ACTA2	ENSG00000107796	chr10	4.9182e-01	5.0186e+00
ACTB	60	NA	2.0618e-01	8.7811e+00
ACTB	ENSG00000075624	chr7	2.0618e-01	8.7811e+00
ACTBL2	345651	NA	1.7060e+00	-7.3153e-01
ACTBL2	ENSG00000169067	chr5	1.7060e+00	-7.3153e-01
ACTC1	70	NA	5.3610e-01	7.1523e+00
ACTC1	ENSG00000159251	chr15	5.3610e-01	7.1523e+00
ACTG1	71	NA	6.3846e-01	5.4953e+00
ACTG1	ENSG00000184009	chr17	6.3846e-01	5.4953e+00
ACTG2	72	NA	6.4649e-01	4.8685e+00
ACTG2	ENSG00000163017	chr2	6.4649e-01	4.8685e+00
ACTL10	170487	NA	NA	-1.2071e+00
ACTL10	ENSG00000288649	chr20	NA	-1.2071e+00
ACTL6A	86	NA	1.7752e-01	4.4946e+00
ACTL6A	ENSG00000136518	chr3	1.7752e-01	4.4946e+00
ACTL6B	51412	NA	9.6425e-01	3.9621e+00
ACTL6B	ENSG00000077080	chr7	9.6425e-01	3.9621e+00
ACTL7A	10881	NA	1.2303e+00	1.0384e-01
ACTL7A	ENSG00000187003	chr9	1.2303e+00	1.0384e-01
ACTL7B	10880	NA	1.2518e+00	-4.4686e-01
ACTL7B	ENSG00000148156	chr9	1.2518e+00	-4.4686e-01
ACTL8	81569	NA	8.3195e-01	2.1382e+00
ACTL8	ENSG00000117148	chr1	8.3195e-01	2.1382e+00
ACTL9	284382	NA	5.2329e+00	-5.4077e-01
ACTL9	ENSG00000181786	chr19	5.2329e+00	-5.4077e-01
ACTN1	87	NA	3.4013e-01	5.6017e+00
ACTN1	ENSG00000072110	chr14	3.4013e-01	5.6017e+00
ACTN2	88	NA	4.4764e-01	2.3096e+00
ACTN2	ENSG00000077522	chr1	4.4764e-01	2.3096e+00
ACTN3	89	NA	9.0554e-01	-7.1912e-02
ACTN3	ENSG00000248746	chr11	9.0554e-01	-7.1912e-02
ACTN4	81	NA	2.3382e-01	6.4911e+00
ACTN4	ENSG00000130402	chr19	2.3382e-01	6.4911e+00
ACTR10	55860	NA	9.8706e-01	7.9155e-01
ACTR10	ENSG00000131966	chr14	9.8706e-01	7.9155e-01
ACTR1A	10121	NA	3.3426e-01	4.5908e+00
ACTR1A	ENSG00000138107	chr10	3.3426e-01	4.5908e+00
ACTR1B	10120	NA	9.1542e-01	9.5932e-01
ACTR1B	ENSG00000115073	chr2	9.1542e-01	9.5932e-01
