Gene	Gene name	nTPM
ENSG00000117407	ARTN	0.0
ENSG00000117408	IPO13	2.3
ENSG00000117410	ATP6V0B	2279.8
ENSG00000117411	B4GALT2	0.6
ENSG00000117419	ERI3	40.4
ENSG00000117425	PTCH2	3.6
ENSG00000117448	AKR1A1	229.8
ENSG00000117450	PRDX1	471.2
ENSG00000117461	PIK3R3	5.8
ENSG00000117472	TSPAN1	5.6
ENSG00000117475	BLZF1	85.9
ENSG00000117477	CCDC181	1.0
ENSG00000117479	SLC19A2	2.0
ENSG00000117480	FAAH	29.2
ENSG00000117481	NSUN4	5.0
ENSG00000117500	TMED5	57.0
ENSG00000117501	MROH9	0.2
ENSG00000117505	DR1	95.5
ENSG00000117519	CNN3	11.6
ENSG00000117523	PRRC2C	2.5
ENSG00000117525	F3	0.5
ENSG00000117528	ABCD3	5.9
ENSG00000117533	VAMP4	12.0
ENSG00000117543	DPH5	12.7
ENSG00000117560	FASLG	58.2
ENSG00000117569	PTBP2	1.4
ENSG00000117586	TNFSF4	2.8
ENSG00000117592	PRDX6	79.8
ENSG00000117593	DARS2	7.0
ENSG00000117594	HSD11B1	5.7
ENSG00000117595	IRF6	0.4
ENSG00000117597	UTP25	5.3
ENSG00000117598	PLPPR5	0.0
ENSG00000117600	PLPPR4	0.3
ENSG00000117601	SERPINC1	0.3
ENSG00000117602	RCAN3	38.3
ENSG00000117614	SYF2	338.8
ENSG00000117616	RSRP1	150.1
ENSG00000117620	SLC35A3	5.0
ENSG00000117625	RCOR3	46.1
ENSG00000117632	STMN1	425.4
ENSG00000117640	MTFR1L	112.0
ENSG00000117643	MAN1C1	4.8
ENSG00000117650	NEK2	1.6
ENSG00000117676	RPS6KA1	131.5
ENSG00000117682	DHDDS	23.0
ENSG00000117691	NENF	13.6
ENSG00000117697	NSL1	64.7
ENSG00000117707	PROX1	0.2
ENSG00000117713	ARID1A	3.3
ENSG00000117724	CENPF	0.2
ENSG00000117748	RPA2	435.8
ENSG00000117751	PPP1R8	17.4
ENSG00000117758	STX12	40.9
ENSG00000117791	MTARC2	14.2
ENSG00000117834	SLC5A9	0.0
ENSG00000117859	OSBPL9	53.1
ENSG00000117862	TXNDC12	394.7
ENSG00000117868	ESYT2	5.9
ENSG00000117877	POLR1G	14.5
ENSG00000117899	MESD	45.2
ENSG00000117906	RCN2	28.1
ENSG00000117971	CHRNB4	0.3
ENSG00000117983	MUC5B	0.0
ENSG00000117984	CTSD	578.6
ENSG00000118004	COLEC11	0.8
ENSG00000118007	STAG1	8.8
ENSG00000118017	A4GNT	0.0
ENSG00000118046	STK11	9.9
ENSG00000118058	KMT2A	2.1
ENSG00000118094	TREH	0.0
ENSG00000118096	IFT46	11.2
ENSG00000118113	MMP8	1.7
ENSG00000118137	APOA1	1.2
ENSG00000118156	ZNF541	0.4
ENSG00000118160	SLC8A2	0.0
ENSG00000118162	KPTN	23.9
ENSG00000118181	RPS25	5199.9
ENSG00000118193	KIF14	0.6
ENSG00000118194	TNNT2	0.0
ENSG00000118197	DDX59	33.5
ENSG00000118200	CAMSAP2	0.1
ENSG00000118217	ATF6	33.8
ENSG00000118231	CRYGD	0.0
ENSG00000118242	MREG	2.1
ENSG00000118245	TNP1	0.0
ENSG00000118246	FASTKD2	31.4
ENSG00000118257	NRP2	0.3
ENSG00000118260	CREB1	56.5
ENSG00000118263	KLF7	28.6
ENSG00000118271	TTR	0.4
ENSG00000118276	B4GALT6	1.4
ENSG00000118292	C1orf54	103.8
ENSG00000118298	CA14	0.6
ENSG00000118307	DNAI7	1.4
ENSG00000118308	IRAG2	176.3
ENSG00000118322	ATP10B	0.0
ENSG00000118363	SPCS2	555.0
ENSG00000118369	USP35	0.8
ENSG00000118402	ELOVL4	23.8
ENSG00000118407	FILIP1	0.2
ENSG00000118412	CASP8AP2	14.4
ENSG00000118418	HMGN3	213.3
ENSG00000118420	UBE3D	5.6
ENSG00000118432	CNR1	0.5
ENSG00000118434	SPACA1	0.0
ENSG00000118454	ANKRD13C	14.7
ENSG00000118473	SGIP1	0.1
ENSG00000118482	PHF3	15.6
ENSG00000118491	ZC2HC1B	0.1
ENSG00000118492	ADGB	0.4
ENSG00000118495	PLAGL1	25.2
ENSG00000118496	FBXO30	9.3
ENSG00000118503	TNFAIP3	15.2
ENSG00000118507	AKAP7	18.2
ENSG00000118508	RAB32	86.6
ENSG00000118513	MYB	5.3
ENSG00000118514	ALDH8A1	2.4
ENSG00000118515	SGK1	170.2
ENSG00000118518	RNF146	35.3
ENSG00000118520	ARG1	45.0
ENSG00000118523	CCN2	8.1
ENSG00000118526	TCF21	0.2
ENSG00000118557	PMFBP1	0.4
ENSG00000118564	FBXL5	409.3
ENSG00000118579	MED28	8.9
ENSG00000118596	SLC16A7	8.5
ENSG00000118600	RXYLT1	0.6
ENSG00000118620	ZNF430	19.7
ENSG00000118640	VAMP8	2141.1
ENSG00000118655	DCLRE1B	5.8
ENSG00000118680	MYL12B	1517.0
ENSG00000118689	FOXO3	15.7
ENSG00000118690	ARMC2	6.0
ENSG00000118702	GHRH	0.3
ENSG00000118705	RPN2	675.5
ENSG00000118707	TGIF2	16.0
ENSG00000118729	CASQ2	0.0
ENSG00000118733	OLFM3	0.0
ENSG00000118762	PKD2	1.4
ENSG00000118777	ABCG2	2.2
ENSG00000118785	SPP1	26.6
ENSG00000118804	STBD1	5.7
ENSG00000118816	CCNI	237.8
ENSG00000118849	RARRES1	0.1
ENSG00000118855	MFSD1	289.1
ENSG00000118873	RAB3GAP2	8.5
ENSG00000118894	EEF2KMT	16.7
ENSG00000118898	PPL	0.2
ENSG00000118900	UBN1	14.2
ENSG00000118922	KLF12	2.7
ENSG00000118939	UCHL3	135.2
ENSG00000118946	PCDH17	0.1
ENSG00000118960	HS1BP3	18.4
ENSG00000118961	LDAH	7.8
ENSG00000118965	WDR35	2.9
ENSG00000118971	CCND2	17.1
ENSG00000118972	FGF23	9.0
ENSG00000118985	ELL2	7.0
ENSG00000118997	DNAH7	0.3
ENSG00000119004	CYP20A1	9.3
ENSG00000119013	NDUFB3	265.4
ENSG00000119041	GTF3C3	8.9
ENSG00000119042	SATB2	0.0
ENSG00000119048	UBE2B	312.6
ENSG00000119121	TRPM6	23.2
ENSG00000119125	GDA	0.7
ENSG00000119138	KLF9	1.0
ENSG00000119139	TJP2	2.3
ENSG00000119147	ECRG4	8.5
ENSG00000119185	ITGB1BP1	86.7
ENSG00000119203	CPSF3	50.2
ENSG00000119227	PIGZ	0.8
ENSG00000119231	SENP5	16.4
ENSG00000119242	CCDC92	1.6
ENSG00000119280	C1orf198	13.1
ENSG00000119283	TRIM67	0.0
ENSG00000119285	HEATR1	9.1
ENSG00000119314	PTBP3	32.7
ENSG00000119318	RAD23B	2.9
ENSG00000119321	FKBP15	5.0
ENSG00000119326	CTNNAL1	6.5
ENSG00000119328	ABITRAM	39.0
ENSG00000119333	DYNC2I2	53.2
ENSG00000119335	SET	222.3
ENSG00000119383	PTPA	23.1
ENSG00000119392	GLE1	35.9
ENSG00000119396	RAB14	47.8
ENSG00000119397	CNTRL	7.5
ENSG00000119401	TRIM32	20.9
ENSG00000119402	FBXW2	6.6
ENSG00000119403	PHF19	79.9
ENSG00000119408	NEK6	76.6
ENSG00000119411	BSPRY	4.4
ENSG00000119414	PPP6C	61.9
ENSG00000119421	NDUFA8	114.4
ENSG00000119431	HDHD3	17.4
ENSG00000119446	RBM18	11.4
ENSG00000119457	SLC46A2	24.7
ENSG00000119471	HSDL2	54.5
ENSG00000119487	MAPKAP1	19.0
ENSG00000119508	NR4A3	0.1
ENSG00000119509	INVS	2.6
ENSG00000119514	GALNT12	0.6
ENSG00000119522	DENND1A	19.9
ENSG00000119523	ALG2	80.0
ENSG00000119535	CSF3R	1924.2
ENSG00000119537	KDSR	26.6
ENSG00000119541	VPS4B	187.2
ENSG00000119547	ONECUT2	0.0
ENSG00000119559	C19orf25	59.3
ENSG00000119574	ZBTB45	10.3
ENSG00000119596	YLPM1	3.4
ENSG00000119599	DCAF4	11.6
ENSG00000119608	PROX2	10.7
ENSG00000119614	VSX2	0.0
ENSG00000119616	FCF1	31.3
ENSG00000119630	PGF	0.4
ENSG00000119632	IFI27L2	239.5
ENSG00000119636	BBOF1	2.4
ENSG00000119638	NEK9	5.1
ENSG00000119640	ACYP1	24.7
ENSG00000119650	IFT43	34.7
ENSG00000119655	NPC2	2119.0
ENSG00000119661	DNAL1	5.3
ENSG00000119669	IRF2BPL	10.7
ENSG00000119673	ACOT2	31.2
ENSG00000119681	LTBP2	0.2
ENSG00000119682	AREL1	7.3
ENSG00000119684	MLH3	6.4
ENSG00000119685	TTLL5	11.5
ENSG00000119686	FLVCR2	14.6
ENSG00000119688	ABCD4	6.1
ENSG00000119689	DLST	3.5
ENSG00000119698	PPP4R4	0.1
ENSG00000119699	TGFB3	0.2
ENSG00000119703	ZC2HC1C	1.3
ENSG00000119705	SLIRP	291.0
ENSG00000119707	RBM25	28.6
ENSG00000119711	ALDH6A1	43.2
ENSG00000119714	GPR68	22.9
ENSG00000119715	ESRRB	0.0
ENSG00000119718	EIF2B2	4.2
ENSG00000119720	NRDE2	1.5
ENSG00000119723	COQ6	15.7
ENSG00000119725	ZNF410	75.3
ENSG00000119729	RHOQ	4.9
ENSG00000119737	GPR75	0.2
ENSG00000119760	SUPT7L	30.4
ENSG00000119771	KLHL29	0.1
ENSG00000119772	DNMT3A	6.3
ENSG00000119777	TMEM214	5.7
ENSG00000119778	ATAD2B	15.8
ENSG00000119782	FKBP1B	2.8
ENSG00000119787	ATL2	10.5
ENSG00000119801	YPEL5	307.6
ENSG00000119812	FAM98A	7.3
ENSG00000119820	YIPF4	14.8
ENSG00000119844	AFTPH	25.9
ENSG00000119862	LGALSL	1.6
ENSG00000119865	CNRIP1	12.3
ENSG00000119866	BCL11A	902.0
ENSG00000119878	CRIPT	6.2
ENSG00000119888	EPCAM	0.3
ENSG00000119899	SLC17A5	13.2
ENSG00000119900	OGFRL1	11.1
ENSG00000119906	SLF2	11.1
ENSG00000119912	IDE	6.0
ENSG00000119913	TECTB	0.0
ENSG00000119915	ELOVL3	7.1
ENSG00000119917	IFIT3	489.5
ENSG00000119919	NKX2-3	0.1
ENSG00000119922	IFIT2	421.4
ENSG00000119927	GPAM	1.1
ENSG00000119929	CUTC	112.0
ENSG00000119938	PPP1R3C	0.0
ENSG00000119943	PYROXD2	190.9
ENSG00000119946	CNNM1	0.1
ENSG00000119950	MXI1	9.8
ENSG00000119953	SMNDC1	16.7
ENSG00000119965	C10orf88	5.3
ENSG00000119969	HELLS	3.1
ENSG00000119973	PRLHR	0.1
ENSG00000119977	TCTN3	45.3
ENSG00000119979	DENND10	55.6
ENSG00000119986	AVPI1	11.2
ENSG00000120008	WDR11	27.5
ENSG00000120029	ARMH3	19.6
ENSG00000120049	KCNIP2	1.5
ENSG00000120051	CFAP58	2.1
ENSG00000120053	GOT1	36.4
ENSG00000120054	CPN1	0.0
ENSG00000120055	C10orf95	11.7
ENSG00000120057	SFRP5	3.6
ENSG00000120063	GNA13	13.9
ENSG00000120068	HOXB8	0.0
ENSG00000120071	KANSL1	0.5
ENSG00000120075	HOXB5	0.0
ENSG00000120088	CRHR1	0.0
ENSG00000120093	HOXB3	0.6
ENSG00000120094	HOXB1	0.0
ENSG00000120129	DUSP1	7452.7
ENSG00000120137	PANK3	1.7
ENSG00000120149	MSX2	0.0
ENSG00000120156	TEK	0.3
ENSG00000120158	RCL1	16.3
ENSG00000120159	CAAP1	21.0
ENSG00000120160	EQTN	0.0
ENSG00000120162	MOB3B	2.9
ENSG00000120210	INSL6	0.3
ENSG00000120211	INSL4	0.0
ENSG00000120215	MLANA	0.6
ENSG00000120217	CD274	6.7
ENSG00000120235	IFNA6	0.0
ENSG00000120242	IFNA8	0.0
ENSG00000120251	GRIA2	0.0
ENSG00000120253	NUP43	6.2
ENSG00000120254	MTHFD1L	1.8
ENSG00000120256	LRP11	0.3
ENSG00000120262	CCDC170	6.2
ENSG00000120265	PCMT1	212.1
ENSG00000120278	PLEKHG1	22.9
ENSG00000120279	MYCT1	30.7
ENSG00000120280	TASL	46.0
ENSG00000120289	MAGEB4	0.0
ENSG00000120306	CYSTM1	427.5
ENSG00000120314	WDR55	15.7
ENSG00000120318	ARAP3	3.3
ENSG00000120322	PCDHB8	0.0
ENSG00000120324	PCDHB10	0.0
ENSG00000120327	PCDHB14	0.0
ENSG00000120328	PCDHB12	0.0
ENSG00000120329	SLC25A2	0.0
ENSG00000120332	TNN	0.0
ENSG00000120333	MRPS14	21.2
ENSG00000120334	CENPL	8.6
ENSG00000120337	TNFSF18	0.1
ENSG00000120341	SEC16B	0.0
ENSG00000120370	GORAB	5.1
ENSG00000120436	GPR31	0.5
ENSG00000120437	ACAT2	79.2
ENSG00000120438	TCP1	132.1
ENSG00000120440	TTLL2	0.1
ENSG00000120451	SNX19	6.5
ENSG00000120457	KCNJ5	0.5
ENSG00000120458	MSANTD2	1.1
ENSG00000120471	TP53AIP1	0.2
ENSG00000120498	TEX11	0.3
ENSG00000120500	ARR3	0.2
ENSG00000120509	PDZD11	78.0
ENSG00000120519	SLC10A7	10.9
ENSG00000120526	NUDCD1	1.7
ENSG00000120533	ENY2	122.4
ENSG00000120539	MASTL	2.3
ENSG00000120549	KIAA1217	0.5
ENSG00000120563	LYZL1	0.0
ENSG00000120594	PLXDC2	81.8
ENSG00000120616	EPC1	65.9
ENSG00000120645	IQSEC3	0.3
ENSG00000120647	CCDC77	8.2
ENSG00000120656	TAF12	122.9
ENSG00000120658	ENOX1	0.3
ENSG00000120659	TNFSF11	9.9
ENSG00000120662	MTRF1	7.9
ENSG00000120669	SOHLH2	0.0
ENSG00000120675	DNAJC15	8.2
ENSG00000120685	PROSER1	4.5
ENSG00000120686	UFM1	71.6
ENSG00000120688	WBP4	27.4
ENSG00000120690	ELF1	266.6
ENSG00000120693	SMAD9	0.2
ENSG00000120694	HSPH1	19.7
ENSG00000120696	KBTBD7	13.7
ENSG00000120697	ALG5	109.3
ENSG00000120699	EXOSC8	68.3
ENSG00000120705	ETF1	27.1
ENSG00000120708	TGFBI	325.2
ENSG00000120709	FAM53C	29.5
ENSG00000120725	SIL1	52.4
ENSG00000120727	PAIP2	804.8
ENSG00000120729	MYOT	0.1
ENSG00000120733	KDM3B	5.6
ENSG00000120738	EGR1	7.1
ENSG00000120742	SERP1	508.5
ENSG00000120756	PLS1	3.0
ENSG00000120784	ZFP30	3.0
ENSG00000120798	NR2C1	5.0
ENSG00000120800	UTP20	0.9
ENSG00000120802	TMPO	76.2
ENSG00000120805	ARL1	50.5
ENSG00000120820	GLT8D2	0.3
ENSG00000120832	MTERF2	11.9
ENSG00000120833	SOCS2	178.7
ENSG00000120837	NFYB	18.6
ENSG00000120860	WASHC3	126.6
ENSG00000120868	APAF1	71.4
ENSG00000120875	DUSP4	6.8
ENSG00000120885	CLU	1075.3
ENSG00000120889	TNFRSF10B	17.8
ENSG00000120896	SORBS3	23.4
ENSG00000120899	PTK2B	53.8
ENSG00000120903	CHRNA2	0.3
ENSG00000120907	ADRA1A	0.0
ENSG00000120910	PPP3CC	26.4
ENSG00000120913	PDLIM2	158.9
ENSG00000120915	EPHX2	107.0
ENSG00000120925	RNF170	9.1
ENSG00000120937	NPPB	0.1
ENSG00000120942	UBIAD1	48.7
ENSG00000120948	TARDBP	67.4
ENSG00000120949	TNFRSF8	97.0
ENSG00000120952	PRAMEF2	0.0
ENSG00000120963	ZNF706	534.5
ENSG00000120992	LYPLA1	111.6
ENSG00000121005	CRISPLD1	0.7
ENSG00000121022	COPS5	66.8
ENSG00000121039	RDH10	0.6
ENSG00000121053	EPX	2.2
ENSG00000121057	AKAP1	4.0
ENSG00000121058	COIL	27.7
ENSG00000121060	TRIM25	8.7
ENSG00000121064	SCPEP1	319.1
ENSG00000121067	SPOP	145.0
ENSG00000121068	TBX2	0.0
ENSG00000121073	SLC35B1	43.4
ENSG00000121075	TBX4	0.0
ENSG00000121101	TEX14	0.0
ENSG00000121104	FAM117A	50.5
ENSG00000121152	NCAPH	6.2
ENSG00000121207	LRAT	2.2
ENSG00000121210	TMEM131L	36.8
ENSG00000121211	MND1	1.7
ENSG00000121236	TRIM6	1.2
ENSG00000121270	ABCC11	0.7
ENSG00000121274	TENT4B	0.7
ENSG00000121281	ADCY7	18.0
ENSG00000121289	CEP89	12.9
ENSG00000121297	TSHZ3	1.9
ENSG00000121310	ECHDC2	13.6
ENSG00000121314	TAS2R8	0.0
ENSG00000121316	PLBD1	663.4
ENSG00000121318	TAS2R10	0.2
ENSG00000121335	PRB2	0.3
ENSG00000121350	PYROXD1	2.7
ENSG00000121351	IAPP	0.3
ENSG00000121361	KCNJ8	1.5
ENSG00000121377	TAS2R7	0.0
ENSG00000121380	BCL2L14	0.7
ENSG00000121381	TAS2R9	0.0
ENSG00000121390	PSPC1	23.4
ENSG00000121406	ZNF549	11.3
ENSG00000121410	A1BG	0.2
ENSG00000121413	ZSCAN18	1.5
ENSG00000121417	ZNF211	12.4
ENSG00000121440	PDZRN3	1.9
ENSG00000121446	RGSL1	0.0
ENSG00000121454	LHX4	0.0
ENSG00000121481	RNF2	31.4
ENSG00000121486	TRMT1L	24.0
ENSG00000121542	SEC22A	29.9
ENSG00000121552	CSTA	516.2
ENSG00000121570	DPPA4	7.5
ENSG00000121577	POPDC2	1.3
ENSG00000121578	B4GALT4	20.1
ENSG00000121579	NAA50	52.1
ENSG00000121594	CD80	1.4
ENSG00000121621	KIF18A	4.2
ENSG00000121634	GJA8	0.0
ENSG00000121644	DESI2	5.6
ENSG00000121653	MAPK8IP1	0.8
ENSG00000121671	CRY2	8.1
ENSG00000121680	PEX16	61.3
ENSG00000121690	DEPDC7	6.7
ENSG00000121691	CAT	4747.5
ENSG00000121716	PILRB	251.7
ENSG00000121741	ZMYM2	3.8
ENSG00000121742	GJB6	2.6
ENSG00000121743	GJA3	0.0
ENSG00000121749	TBC1D15	11.7
ENSG00000121753	ADGRB2	0.0
ENSG00000121764	HCRTR1	0.1
ENSG00000121766	ZCCHC17	86.9
ENSG00000121769	FABP3	0.4
ENSG00000121774	KHDRBS1	11.7
ENSG00000121775	TMEM39B	34.0
ENSG00000121797	CCRL2	22.1
ENSG00000121807	CCR2	557.4
ENSG00000121851	POLR3GL	266.8
ENSG00000121853	GHSR	0.5
ENSG00000121858	TNFSF10	266.3
ENSG00000121864	ZNF639	2.6
ENSG00000121871	SLITRK3	0.0
ENSG00000121879	PIK3CA	2.2
ENSG00000121892	PDS5A	3.1
ENSG00000121895	TMEM156	75.0
ENSG00000121897	LIAS	16.1
ENSG00000121898	CPXM2	0.0
ENSG00000121900	TMEM54	0.0
ENSG00000121903	ZSCAN20	0.6
ENSG00000121904	CSMD2	0.0
ENSG00000121905	HPCA	0.0
ENSG00000121931	LRIF1	31.5
ENSG00000121933	TMIGD3	63.0
ENSG00000121940	CLCC1	12.9
ENSG00000121957	GPSM2	2.8
ENSG00000121964	GTDC1	15.9
ENSG00000121966	CXCR4	168.2
ENSG00000121988	ZRANB3	0.3
ENSG00000121989	ACVR2A	4.8
ENSG00000122008	POLK	11.7
ENSG00000122012	SV2C	1.5
ENSG00000122025	FLT3	68.7
ENSG00000122026	RPL21	17590.0
ENSG00000122033	MTIF3	88.3
ENSG00000122034	GTF3A	483.3
ENSG00000122035	RASL11A	1.3
ENSG00000122042	UBL3	34.7
ENSG00000122068	FYTTD1	64.7
ENSG00000122085	MTERF4	46.4
ENSG00000122121	XPNPEP2	4.3
ENSG00000122122	SASH3	343.3
ENSG00000122126	OCRL	3.7
ENSG00000122133	PAEP	3.1
ENSG00000122136	OBP2A	0.0
ENSG00000122140	MRPS2	38.2
ENSG00000122145	TBX22	0.0
ENSG00000122176	FMOD	0.0
ENSG00000122180	MYOG	0.5
ENSG00000122188	LAX1	12.0
ENSG00000122194	PLG	0.1
ENSG00000122203	KIAA1191	40.3
ENSG00000122218	COPA	40.5
ENSG00000122223	CD244	473.6
ENSG00000122224	LY9	113.7
ENSG00000122254	HS3ST2	0.0
ENSG00000122257	RBBP6	7.1
ENSG00000122299	ZC3H7A	32.4
ENSG00000122304	PRM2	0.0
ENSG00000122335	SERAC1	2.5
ENSG00000122359	ANXA11	445.0
ENSG00000122367	LDB3	0.3
ENSG00000122375	OPN4	0.0
ENSG00000122376	SHLD2	13.8
ENSG00000122378	PRXL2A	166.4
ENSG00000122386	ZNF205	0.8
ENSG00000122390	NAA60	53.8
ENSG00000122406	RPL5	2356.1
ENSG00000122417	ODF2L	31.1
ENSG00000122420	PTGFR	0.1
ENSG00000122432	SPATA1	0.2
ENSG00000122435	TRMT13	20.0
ENSG00000122477	LRRC39	0.0
ENSG00000122481	RWDD3	28.2
ENSG00000122482	ZNF644	9.9
ENSG00000122483	CCDC18	9.0
ENSG00000122484	RPAP2	1.7
ENSG00000122490	SLC66A2	3.4
ENSG00000122507	BBS9	7.5
ENSG00000122512	PMS2	3.3
ENSG00000122515	ZMIZ2	1.8
ENSG00000122543	OCM	2.7
ENSG00000122545	SEPTIN7	259.1
ENSG00000122547	EEPD1	51.9
ENSG00000122550	KLHL7	67.4
ENSG00000122557	HERPUD2	23.3
ENSG00000122565	CBX3	148.7
ENSG00000122566	HNRNPA2B1	4.8
ENSG00000122574	WIPF3	0.6
ENSG00000122584	NXPH1	0.0
ENSG00000122585	NPY	0.0
ENSG00000122591	HYCC1	13.8
ENSG00000122592	HOXA7	4.7
ENSG00000122641	INHBA	0.2
ENSG00000122642	FKBP9	4.2
ENSG00000122643	NT5C3A	71.5
ENSG00000122644	ARL4A	44.9
ENSG00000122674	CCZ1	4.2
ENSG00000122678	POLM	63.8
ENSG00000122679	RAMP3	0.6
ENSG00000122687	MRM2	71.9
ENSG00000122691	TWIST1	0.0
ENSG00000122692	SMU1	23.3
ENSG00000122694	GLIPR2	660.1
ENSG00000122696	SLC25A51	16.7
ENSG00000122705	CLTA	240.4
ENSG00000122707	RECK	6.3
ENSG00000122711	SPINK4	1.8
ENSG00000122728	TAF1L	0.0
ENSG00000122729	ACO1	33.4
ENSG00000122733	PHF24	2.0
ENSG00000122735	DNAI1	0.0
ENSG00000122741	DCAF10	0.8
ENSG00000122756	CNTFR	0.0
ENSG00000122778	KIAA1549	0.2
ENSG00000122779	TRIM24	1.0
ENSG00000122783	CYREN	32.2
ENSG00000122786	CALD1	2.9
ENSG00000122787	AKR1D1	0.7
ENSG00000122824	NUDT10	0.3
ENSG00000122852	SFTPA1	2.7
ENSG00000122859	NEUROG3	0.2
ENSG00000122861	PLAU	2.1
ENSG00000122862	SRGN	5737.5
ENSG00000122863	CHST3	0.0
ENSG00000122870	BICC1	6.2
ENSG00000122873	CISD1	7.6
ENSG00000122877	EGR2	2.3
ENSG00000122882	ECD	34.9
ENSG00000122884	P4HA1	26.2
ENSG00000122912	SLC25A16	1.3
ENSG00000122952	ZWINT	17.0
ENSG00000122958	VPS26A	54.8
ENSG00000122965	RBM19	12.5
ENSG00000122966	CIT	0.1
ENSG00000122970	IFT81	1.0
ENSG00000122971	ACADS	20.0
ENSG00000122986	HVCN1	802.6
ENSG00000123064	DDX54	16.7
ENSG00000123066	MED13L	3.6
ENSG00000123080	CDKN2C	22.6
ENSG00000123091	RNF11	22.0
ENSG00000123094	RASSF8	1.1
ENSG00000123095	BHLHE41	2.0
ENSG00000123096	SSPN	57.7
ENSG00000123104	ITPR2	32.5
ENSG00000123106	CCDC91	36.9
ENSG00000123119	NECAB1	0.2
ENSG00000123124	WWP1	7.5
ENSG00000123130	ACOT9	56.5
ENSG00000123131	PRDX4	138.4
ENSG00000123136	DDX39A	153.4
ENSG00000123143	PKN1	52.5
ENSG00000123144	TRIR	85.5
ENSG00000123146	ADGRE5	774.9
ENSG00000123154	WDR83	23.5
ENSG00000123159	GIPC1	12.0
ENSG00000123165	ACTRT1	0.0
ENSG00000123171	CCDC70	0.0
ENSG00000123178	SPRYD7	6.8
ENSG00000123179	EBPL	6.9
ENSG00000123191	ATP7B	0.0
ENSG00000123200	ZC3H13	15.4
ENSG00000123213	NLN	3.3
ENSG00000123219	CENPK	28.7
ENSG00000123240	OPTN	109.8
ENSG00000123243	ITIH5	0.1
ENSG00000123268	ATF1	42.9
ENSG00000123297	TSFM	36.1
ENSG00000123307	NEUROD4	0.0
ENSG00000123329	ARHGAP9	392.7
ENSG00000123338	NCKAP1L	121.8
ENSG00000123342	MMP19	0.5
ENSG00000123349	PFDN5	8669.2
ENSG00000123352	SPATS2	7.8
ENSG00000123353	ORMDL2	120.3
ENSG00000123358	NR4A1	54.4
ENSG00000123360	PDE1B	0.1
ENSG00000123364	HOXC13	0.0
ENSG00000123374	CDK2	7.9
ENSG00000123384	LRP1	4.3
ENSG00000123388	HOXC11	0.0
ENSG00000123395	ATG101	261.9
ENSG00000123405	NFE2	1493.0
ENSG00000123407	HOXC12	0.0
ENSG00000123411	IKZF4	1.9
ENSG00000123415	SMUG1	89.6
ENSG00000123416	TUBA1B	1111.8
ENSG00000123427	EEF1AKMT3	7.8
ENSG00000123444	KBTBD4	13.8
ENSG00000123453	SARDH	8.5
ENSG00000123454	DBH	0.2
ENSG00000123472	ATPAF1	5.7
ENSG00000123473	STIL	0.7
ENSG00000123485	HJURP	1.2
ENSG00000123496	IL13RA2	0.0
ENSG00000123500	COL10A1	0.4
ENSG00000123505	AMD1	102.9
ENSG00000123545	NDUFAF4	7.6
ENSG00000123552	USP45	6.8
ENSG00000123560	PLP1	0.3
ENSG00000123561	SERPINA7	0.0
ENSG00000123562	MORF4L2	70.3
ENSG00000123569	H2BW1	0.0
ENSG00000123570	RAB9B	0.8
ENSG00000123572	NRK	0.0
ENSG00000123575	FAM199X	1.3
ENSG00000123576	ESX1	0.0
ENSG00000123584	MAGEA9	0.0
ENSG00000123594	ATXN3L	0.0
ENSG00000123595	RAB9A	38.2
ENSG00000123600	METTL8	6.8
ENSG00000123607	TTC21B	3.2
ENSG00000123609	NMI	469.4
ENSG00000123610	TNFAIP6	183.6
ENSG00000123612	ACVR1C	0.6
ENSG00000123636	BAZ2B	197.0
ENSG00000123643	SLC36A1	21.8
ENSG00000123684	LPGAT1	16.2
ENSG00000123685	BATF3	99.6
ENSG00000123689	G0S2	552.0
ENSG00000123700	KCNJ2	30.7
ENSG00000123728	RAP2C	14.5
ENSG00000123737	EXOSC9	25.4
ENSG00000123739	PLA2G12A	12.1
ENSG00000123810	B9D2	128.0
ENSG00000123815	COQ8B	10.4
ENSG00000123836	PFKFB2	23.8
ENSG00000123838	C4BPA	29.6
ENSG00000123843	C4BPB	1.1
ENSG00000123892	RAB38	18.0
ENSG00000123901	GPR83	0.4
ENSG00000123908	AGO2	2.2
ENSG00000123933	MXD4	7.2
ENSG00000123975	CKS2	188.4
ENSG00000123977	DAW1	0.9
ENSG00000123983	ACSL3	20.9
ENSG00000123989	CHPF	6.2
ENSG00000123992	DNPEP	21.3
ENSG00000123999	INHA	0.0
ENSG00000124003	MOGAT1	0.7
ENSG00000124006	OBSL1	4.4
ENSG00000124019	FAM124B	29.7
ENSG00000124067	SLC12A4	2.7
ENSG00000124074	ENKD1	1.3
ENSG00000124089	MC3R	0.0
ENSG00000124091	GCNT7	0.9
ENSG00000124092	CTCFL	0.8
ENSG00000124097	HMGB1P1	2.4
ENSG00000124098	FAM210B	6.9
ENSG00000124102	PI3	1774.5
ENSG00000124103	FAM209A	0.6
ENSG00000124104	SNX21	4.9
ENSG00000124107	SLPI	323.6
ENSG00000124116	WFDC3	0.0
ENSG00000124120	TTPAL	5.7
ENSG00000124126	PREX1	9.2
ENSG00000124134	KCNS1	0.3
ENSG00000124140	SLC12A5	2.4
ENSG00000124143	ARHGAP40	0.0
